bank_txn_id,value_date,credit_amount,utr,narration
bnk_0001,2026-07-03,32125.81,UTR914655221101,RAZORPAY SETTLEMENT UTR914655221101
bnk_0002,2026-07-03,28200.81,UTR336890980656,RAZORPAY SETTLEMENT UTR336890980656
bnk_0003,2026-07-04,47881.89,UTR406575307735,RAZORPAY SETTLEMENT UTR406575307735
bnk_0004,2026-07-04,35471.38,UTR446680801999,RAZORPAY SETTLEMENT UTR446680801999
bnk_0005,2026-07-05,49772.73,UTR850726264460,RAZORPAY SETTLEMENT UTR850726264460
bnk_0006,2026-07-05,27186.62,UTR508678332797,RAZORPAY SETTLEMENT UTR508678332797
bnk_0007,2026-07-06,34797.44,UTR680958994499,RAZORPAY SETTLEMENT UTR680958994499
bnk_0008,2026-07-06,30453.56,UTR635449182375,RAZORPAY SETTLEMENT UTR635449182375
bnk_0009,2026-07-07,23037.87,UTR689227460591,RAZORPAY SETTLEMENT UTR689227460591
bnk_0010,2026-07-07,23037.87,UTR689227460591,RAZORPAY SETTLEMENT UTR689227460591
bnk_0011,2026-07-07,34888.2,UTR565081604082,RAZORPAY SETTLEMENT UTR565081604082
bnk_0012,2026-07-08,22186.57,UTR823355063011,RAZORPAY SETTLEMENT UTR823355063011
bnk_0013,2026-07-08,42584.79,UTR875427216652,RAZORPAY SETTLEMENT UTR875427216652
bnk_0014,2026-07-09,44351.14,UTR796181120841,RAZORPAY SETTLEMENT UTR796181120841
bnk_0015,2026-07-09,39402.19,UTR214533606906,RAZORPAY SETTLEMENT UTR214533606906
bnk_0016,2026-07-10,25621.38,UTR4365092205,RAZORPAY SETTLEMENT UTR4365092205
bnk_0017,2026-07-10,37587.71,UTR900348631876,RAZORPAY SETTLEMENT UTR900348631876
bnk_0018,2026-07-11,35759.54,UTR706860218144,RAZORPAY SETTLEMENT UTR706860218144
bnk_0019,2026-07-11,33970.44,UTR193024055640,RAZORPAY SETTLEMENT UTR193024055640
bnk_0020,2026-07-12,48272.2,UTR955156280853,RAZORPAY SETTLEMENT UTR955156280853
bnk_0021,2026-07-12,36462.68,UTR364684869097,RAZORPAY SETTLEMENT UTR364684869097
bnk_0022,2026-07-13,45421.47,UTR734648396163,RAZORPAY SETTLEMENT UTR734648396163
bnk_0023,2026-07-13,36515.24,UTR804735188129,RAZORPAY SETTLEMENT UTR804735188129
bnk_0024,2026-07-14,30152.75,UTR133304178029,RAZORPAY SETTLEMENT UTR133304178029
bnk_0025,2026-07-14,29147.19,UTR845502370306,RAZORPAY SETTLEMENT UTR845502370306
bnk_0026,2026-07-15,34770.83,UTR606070444418,RAZORPAY SETTLEMENT UTR606070444418
bnk_0027,2026-07-15,31701.49,UTR633356940935,RAZORPAY SETTLEMENT UTR633356940935
bnk_0028,2026-07-16,45232.14,UTR341781900773,RAZORPAY SETTLEMENT UTR341781900773
bnk_0029,2026-07-16,28877.39,UTR211585443515,RAZORPAY SETTLEMENT UTR211585443515
bnk_0030,2026-07-17,38697.94,UTR375098568281,RAZORPAY SETTLEMENT UTR375098568281
bnk_0031,2026-07-17,33103.48,UTR941588491630,RAZORPAY SETTLEMENT UTR941588491630
bnk_0032,2026-07-18,39722.86,UTR970967089400,RAZORPAY SETTLEMENT UTR970967089400
bnk_0033,2026-07-18,27738.85,UTR757475491416,RAZORPAY SETTLEMENT UTR757475491416
bnk_0034,2026-07-19,39732.81,UTR996079577156,RAZORPAY SETTLEMENT UTR996079577156
bnk_0035,2026-07-19,32783.92,UTR157609459666,RAZORPAY SETTLEMENT UTR157609459666
bnk_0036,2026-07-20,38215.77,UTR228475055567,RAZORPAY SETTLEMENT UTR228475055567
bnk_0037,2026-07-20,38453.9,UTR747842026084,RAZORPAY SETTLEMENT UTR747842026084
bnk_0038,2026-07-21,27932.44,UTR463312058510,RAZORPAY SETTLEMENT UTR463312058510
bnk_0039,2026-07-21,26323.55,UTR842395153057,RAZORPAY SETTLEMENT UTR842395153057
bnk_0040,2026-07-22,32937.72,UTR849754952027,RAZORPAY SETTLEMENT UTR849754952027
bnk_0041,2026-07-22,34934.93,UTR748487026122,RAZORPAY SETTLEMENT UTR748487026122
bnk_0042,2026-07-23,37536.34,UTR979505110502,RAZORPAY SETTLEMENT UTR979505110502
bnk_0043,2026-07-23,35863.23,UTR558476939238,RAZORPAY SETTLEMENT UTR558476939238
bnk_0044,2026-07-24,29719.96,UTR713341033639,RAZORPAY SETTLEMENT UTR713341033639
bnk_0045,2026-07-24,21509.12,UTR549465060984,RAZORPAY SETTLEMENT UTR549465060984
bnk_0046,2026-07-25,19782.12,UTR549320804913,RAZORPAY SETTLEMENT UTR549320804913
