payment_id,order_id,captured_date,gross_amount,method,status,order_type
pay_0001,order_0001,2026-07-01,6491.76,upi,captured,direct
pay_0002,order_0002,2026-07-01,1282.46,upi,captured,marketplace
pay_0003,order_0003,2026-07-01,6185.08,wallet,captured,marketplace
pay_0004,order_0004,2026-07-01,2611.48,netbanking,captured,direct
pay_0005,order_0005,2026-07-01,8787.49,card,captured,direct
pay_0006,order_0006,2026-07-01,7620.52,netbanking,captured,direct
pay_0007,order_0007,2026-07-01,1371.75,upi,captured,marketplace
pay_0008,order_0008,2026-07-01,4064.17,netbanking,captured,direct
pay_0009,order_0009,2026-07-01,8763.35,wallet,captured,marketplace
pay_0010,order_0010,2026-07-01,5922.75,wallet,captured,marketplace
pay_0011,order_0011,2026-07-01,1126.27,netbanking,captured,direct
pay_0012,order_0012,2026-07-01,6353.97,upi,captured,marketplace
pay_0013,order_0013,2026-07-01,780.5,netbanking,captured,direct
pay_0014,order_0014,2026-07-01,1136.67,upi,partially_refunded,direct
pay_0015,order_0015,2026-07-02,6965.63,card,captured,direct
pay_0016,order_0016,2026-07-02,4181.62,netbanking,captured,marketplace
pay_0017,order_0017,2026-07-02,7659.11,upi,captured,direct
pay_0018,order_0018,2026-07-02,6687.2,card,captured,direct
pay_0019,order_0019,2026-07-02,2013.39,netbanking,captured,direct
pay_0020,order_0020,2026-07-02,7010.88,card,captured,direct
pay_0021,order_0021,2026-07-02,7478.7,upi,captured,marketplace
pay_0022,order_0022,2026-07-02,2701.74,netbanking,captured,direct
pay_0023,order_0023,2026-07-02,4506.51,card,captured,marketplace
pay_0024,order_0024,2026-07-02,7172.77,wallet,captured,direct
pay_0025,order_0025,2026-07-02,1798.11,card,captured,marketplace
pay_0026,order_0026,2026-07-02,8111.77,netbanking,captured,direct
pay_0027,order_0027,2026-07-02,8133.0,wallet,captured,direct
pay_0028,order_0028,2026-07-02,4095.8,card,captured,marketplace
pay_0029,order_0029,2026-07-02,5642.77,upi,captured,direct
pay_0030,order_0030,2026-07-02,1449.75,card,captured,marketplace
pay_0031,order_0031,2026-07-03,6553.8,wallet,captured,marketplace
pay_0032,order_0032,2026-07-03,6548.34,netbanking,captured,direct
pay_0033,order_0033,2026-07-03,6100.99,upi,captured,direct
pay_0034,order_0034,2026-07-03,7433.28,netbanking,captured,direct
pay_0035,order_0035,2026-07-03,8359.34,upi,captured,direct
pay_0036,order_0036,2026-07-03,3377.57,wallet,captured,direct
pay_0037,order_0037,2026-07-03,334.02,netbanking,captured,direct
pay_0038,order_0038,2026-07-03,5549.02,upi,captured,direct
pay_0039,order_0039,2026-07-03,6856.74,card,captured,marketplace
pay_0040,order_0040,2026-07-03,5955.79,upi,captured,direct
pay_0041,order_0041,2026-07-03,6580.38,upi,captured,marketplace
pay_0042,order_0042,2026-07-03,1473.01,netbanking,captured,direct
pay_0043,order_0043,2026-07-03,2810.83,upi,captured,marketplace
pay_0044,order_0044,2026-07-03,1198.14,upi,captured,direct
pay_0045,order_0045,2026-07-03,8275.49,card,captured,direct
pay_0046,order_0046,2026-07-03,1646.28,card,captured,direct
pay_0047,order_0047,2026-07-04,2520.86,card,captured,direct
pay_0048,order_0048,2026-07-04,7775.81,netbanking,captured,marketplace
pay_0049,order_0049,2026-07-04,4893.81,wallet,captured,direct
pay_0050,order_0050,2026-07-04,1568.82,upi,captured,marketplace
pay_0051,order_0051,2026-07-04,3845.08,card,captured,marketplace
pay_0052,order_0052,2026-07-04,6470.24,upi,captured,marketplace
pay_0053,order_0053,2026-07-04,7722.25,card,captured,direct
pay_0054,order_0054,2026-07-04,1006.74,netbanking,refunded,direct
pay_0055,order_0055,2026-07-04,1042.99,netbanking,captured,direct
pay_0056,order_0056,2026-07-04,5954.27,wallet,captured,marketplace
pay_0057,order_0057,2026-07-04,2848.01,wallet,captured,direct
pay_0058,order_0058,2026-07-04,2296.59,wallet,captured,marketplace
pay_0059,order_0059,2026-07-04,4015.07,wallet,captured,direct
pay_0060,order_0060,2026-07-04,7944.91,upi,captured,marketplace
pay_0061,order_0061,2026-07-04,935.56,netbanking,captured,direct
pay_0062,order_0062,2026-07-04,8694.82,card,captured,direct
pay_0063,order_0063,2026-07-05,1769.91,netbanking,captured,direct
pay_0064,order_0064,2026-07-05,5151.0,upi,captured,marketplace
pay_0065,order_0065,2026-07-05,4946.56,upi,captured,direct
pay_0066,order_0066,2026-07-05,830.45,upi,captured,direct
pay_0067,order_0067,2026-07-05,1277.93,card,captured,direct
pay_0068,order_0068,2026-07-05,2043.89,wallet,captured,direct
pay_0069,order_0069,2026-07-05,2541.3,upi,captured,direct
pay_0070,order_0070,2026-07-05,2026.34,wallet,captured,marketplace
pay_0071,order_0071,2026-07-05,3080.85,wallet,captured,direct
pay_0072,order_0072,2026-07-05,1923.16,card,captured,marketplace
