settlement_id,payment_id,utr,settled_date,gross_amount,mdr_fee,gst_on_fee,tds_194o,adjustment,net_settled
setl_001,pay_0001,UTR914655221101,2026-07-03,6491.76,129.84,23.37,0.0,0.0,6338.55
setl_001,pay_0002,UTR914655221101,2026-07-03,1282.46,25.65,4.62,12.82,0.0,1239.37
setl_001,pay_0003,UTR914655221101,2026-07-03,6185.08,123.7,22.27,61.85,0.0,5977.26
setl_001,pay_0004,UTR914655221101,2026-07-03,2611.48,52.23,9.4,0.0,0.0,2549.85
setl_001,pay_0005,UTR914655221101,2026-07-03,8787.49,175.75,31.64,0.0,0.0,8580.1
setl_001,pay_0006,UTR914655221101,2026-07-03,7620.52,152.41,27.43,0.0,0.0,7440.68
setl_002,pay_0007,UTR336890980656,2026-07-03,1371.75,27.44,4.94,13.72,0.0,1325.65
setl_002,pay_0008,UTR336890980656,2026-07-03,4064.17,81.28,14.63,0.0,0.0,3968.26
setl_002,pay_0009,UTR336890980656,2026-07-03,8763.35,175.27,31.55,87.63,0.0,8468.9
setl_002,pay_0010,UTR336890980656,2026-07-03,5922.75,118.46,21.32,59.23,0.0,5723.74
setl_002,pay_0011,UTR336890980656,2026-07-03,1126.27,22.53,4.06,0.0,0.0,1099.68
setl_002,pay_0012,UTR336890980656,2026-07-03,6353.97,127.08,22.87,63.54,0.0,6140.48
setl_002,pay_0013,UTR336890980656,2026-07-03,780.5,15.61,2.81,0.0,0.0,762.08
setl_002,pay_0014,UTR336890980656,2026-07-03,1136.67,22.73,4.09,0.0,-397.83,712.02
setl_003,pay_0015,UTR406575307735,2026-07-04,6965.63,139.31,25.08,0.0,0.0,6801.24
setl_003,pay_0016,UTR406575307735,2026-07-04,4181.62,83.63,15.05,41.82,0.0,4041.12
setl_003,pay_0017,UTR406575307735,2026-07-04,7659.11,153.18,27.57,0.0,0.0,7478.36
setl_003,pay_0018,UTR406575307735,2026-07-04,6687.2,133.74,24.07,0.0,0.0,6529.39
setl_003,pay_0019,UTR406575307735,2026-07-04,2013.39,40.27,7.25,0.0,0.0,1965.87
setl_003,pay_0020,UTR406575307735,2026-07-04,7010.88,140.22,25.24,0.0,0.0,6845.42
setl_003,pay_0021,UTR406575307735,2026-07-04,7478.7,149.57,26.92,74.79,0.0,7227.42
setl_003,pay_0022,UTR406575307735,2026-07-04,2701.74,54.03,9.73,0.0,0.0,2637.98
setl_003,pay_0023,UTR406575307735,2026-07-04,4506.51,90.13,16.22,45.07,0.0,4355.09
setl_004,pay_0024,UTR446680801999,2026-07-04,7172.77,143.46,25.82,0.0,0.0,7003.49
setl_004,pay_0025,UTR446680801999,2026-07-04,1798.11,35.96,6.47,17.98,0.0,1737.7
setl_004,pay_0026,UTR446680801999,2026-07-04,8111.77,162.24,29.2,0.0,0.0,7920.33
setl_004,pay_0027,UTR446680801999,2026-07-04,8133.0,162.66,29.28,0.0,0.0,7941.06
setl_004,pay_0028,UTR446680801999,2026-07-04,4095.8,81.92,14.75,40.96,0.0,3958.17
setl_004,pay_0029,UTR446680801999,2026-07-04,5642.77,112.86,20.31,0.0,0.0,5509.6
setl_004,pay_0030,UTR446680801999,2026-07-04,1449.75,29.0,5.22,14.5,0.0,1401.03
